kod_ucznia,rok,rocznik,plec,poczta,wojewodztwo,zainteresowanie,poziom_stypendium
106114,2012,1994,M,Wołomin,mazowieckie,informatyka,1
252712,2012,1994,K,Mieroszów,dolnośląskie,fizyka,1
984649,2012,1994,K,Pionki,mazowieckie,informatyka,1
915567,2012,1994,M,Bydgoszcz,kujawsko-pomorskie,matematyka,1
501796,2012,1994,K,Kościan,wielkopolskie,astronomia,1
908468,2012,1994,M,Policzna,mazowieckie,fizyka,3
596475,2012,1994,M,Bystrzyca Kłodzka,dolnośląskie,astronomia,1
121160,2012,1995,M,Szamotuły,wielkopolskie,matematyka,3
461990,2012,1996,M,Kolno,podlaskie,informatyka,3
830623,2012,1995,M,Rudzica,śląskie,fizyka,1
966223,2012,1995,M,Przemyśl,podkarpackie,matematyka,1
441289,2012,1995,K,Grudziądz,kujawsko-pomorskie,astronomia,2
616937,2012,1995,M,Rumia,pomorskie,fizyka,1
642120,2012,1996,M,Szczecin,zachodniopomorskie,matematyka,1
200273,2012,1996,M,Czechowice-Dziedzice,śląskie,matematyka,1
560432,2012,1996,K,Olsztyn,warmińsko-mazurskie,matematyka,1
443840,2012,1997,K,Toruń,kujawsko-pomorskie,matematyka,1
821110,2012,1997,K,Warszawa,mazowieckie,informatyka,1
998084,2012,1997,M,Warszawa Wesoła,mazowieckie,matematyka,2
123318,2012,1998,M,Ropczyce,podkarpackie,informatyka,1
307676,2012,1997,M,Ogrodzieniec,śląskie,informatyka,2
188423,2012,1997,M,Warszawa,mazowieckie,matematyka,1
55462,2012,2001,M,Warszawa,mazowieckie,fizyka,1
25695,2012,1998,M,Sanok,podkarpackie,fizyka,1
996639,2012,1998,M,Lubraniec,kujawsko-pomorskie,matematyka,1
328681,2012,1998,M,Lublin,lubelskie,matematyka,1
669566,2012,1999,K,Łapy,podlaskie,matematyka,1
211724,2012,1998,M,Opoczno,łódzkie,informatyka,1
20160,2012,1998,M,Skała,małopolskie,matematyka,1
509732,2012,1998,M,Wolsztyn,wielkopolskie,matematyka,1
710863,2012,1996,K,Jarosław,podkarpackie,biologia,1
993206,2012,2000,M,Warszawa,mazowieckie,matematyka,1
887702,2012,1997,M,Skwierzyna,lubuskie,historia,1
136625,2012,1996,M,Szczecin,zachodniopomorskie,chemia,1
3693,2012,1997,M,Zawiercie,śląskie,biologia,1
667894,2012,1996,K,Zabrze,śląskie,biologia,1
872197,2012,1996,M,Tomaszów Mazowiecki,łódzkie,chemia,1
702317,2012,1998,M,Toruń,kujawsko-pomorskie,biologia,1
